"","site.code","session","site.accession","tree.accession","id","crowngroup","subplot","rep","species","count","max","min","height.diff","value_dirichlet","vert.density"
"1002","DSUN","8","DSUN008","DSUN06111",18169,"2","6","DSUN008-6","BFF",5,14.9,13.6,1.3,23.0548856212415,0.166825978204386
"1003","DSUN","8","DSUN008","DSUN06115",18173,"2","6","DSUN008-6","BFF",5,13.8,10.9,2.9,53.5537537928,0.0321945299615259
"1004","DSUN","8","DSUN008","DSUN06119",18177,"2","6","DSUN008-6","BFF",14,15.8,11.8,4,41.752983238936,0.0838263455325065
"1005","DSUN","8","DSUN008","DSUN06124",18182,"2","6","DSUN008-6","BFF",8,14.8,13,1.8,12.932219644429,0.343672205286046
"1006","DSUN","8","DSUN008","DSUN07129",18187,"2","7","DSUN008-7","BFF",10,14.7,12.3,2.4,36.0777549,0.115491295902858
"1007","DSUN","8","DSUN008","DSUN07131",18189,"2","7","DSUN008-7","BFF",14,13.9,12.9,1,59.978387597926,0.233417411849266
"1008","DSUN","8","DSUN008","DSUN07137",18195,"2","7","DSUN008-7","BFF",5,18,15.7,2.3,78.1851119357115,0.0278046931142822
"1009","DSUN","8","DSUN008","DSUN07146",18204,"2","7","DSUN008-7","BFF",28,16.3,11.9,4.4,33.1306303359375,0.192077129203714
"1010","DSUN","8","DSUN008","DSUN08152",18210,"2","8","DSUN008-8","BFF",17,17.3,14.8,2.5,45.9417150541145,0.148013629704296
"1011","DSUN","8","DSUN008","DSUN08153",18211,"2","8","DSUN008-8","BFF",14,18.1,14.3,3.8,25.6440847679995,0.143667070189739
"1012","DSUN","8","DSUN008","DSUN08168",18226,"2","8","DSUN008-8","BFF",5,16.2,15.1,1.1,31.430962115533,0.144617098539539
"1013","DSUN","8","DSUN008","DSUN09182",18240,"2","9","DSUN008-9","BFF",10,14.5,12.8,1.7,16.275,0.361434896539261
"1014","DSUN","8","DSUN008","DSUN09183",18241,"2","9","DSUN008-9","BFF",5,15.2,13.7,1.5,14.499041698506,0.229900251523299
"1015","DSUN","8","DSUN008","DSUN09188",18246,"2","9","DSUN008-9","BFF",2,14.2,13.8,0.399999999999999,27.4306639350275,0.182277760824275
"1016","DSUN","8","DSUN008","DSUN09189",18247,"2","9","DSUN008-9","BFF",1,15.3,15.3,0,17.84404977125,NA
"1017","DSUN","8","DSUN008","DSUN10216",18273,"2","10","DSUN008-10","BFF",26,18.9,15.2,3.7,25.2760453526735,0.278011331637517
"1018","DSUN","8","DSUN008","DSUN10217",18274,"2","10","DSUN008-10","BFF",21,20.2,16.7,3.5,27.919418029683,0.214904192974975
"1019","DSUN","9","DSUN009","DSUN01007",20587,"2","1","DSUN009-1","BFF",8,18,16.2,1.8,16.060388014055,0.276733316813701
"1020","DSUN","9","DSUN009","DSUN01020",20600,"2","1","DSUN009-1","BFF",15,24.6,21.6,3,26.2441718027305,0.190518490641789
"1021","DSUN","9","DSUN009","DSUN02025",20605,"2","2","DSUN009-2","BFF",11,25.4,22.2,3.2,27.914595100748,0.123143466261772
"1022","DSUN","9","DSUN009","DSUN02045",20625,"2","2","DSUN009-2","BFF",5,17.2,15.8,1.4,25.156320337628,0.141969434460037
"1023","DSUN","9","DSUN009","DSUN03053",20633,"2","3","DSUN009-3","BFF",8,20.2,17.8,2.4,32.6195974129215,0.102188058642714
"1024","DSUN","9","DSUN009","DSUN03061",20641,"2","3","DSUN009-3","BFF",4,18.5,17.7,0.800000000000001,19.168913606803,0.260838986630182
"1025","DSUN","9","DSUN009","DSUN04073",20653,"2","4","DSUN009-4","BFF",7,13.5,12,1.5,36.833072365364,0.126697730245685
"1026","DSUN","9","DSUN009","DSUN05102",20682,"2","5","DSUN009-5","BFF",17,20,16.4,3.6,57.5484838022495,0.0820564141785024
"1027","DSUN","9","DSUN009","DSUN05103",20683,"2","5","DSUN009-5","BFF",10,16.3,14.2,2.1,71.4317564128695,0.0666636941471991
"1028","DSUN","9","DSUN009","DSUN05104",20684,"2","5","DSUN009-5","BFF",5,10.8,9,1.8,50.03512238296,0.0555165580792859
"1029","DSUN","9","DSUN009","DSUN05105",20685,"2","5","DSUN009-5","BFF",11,16.2,13.1,3.1,13.5533400225,0.26180905156098
"1030","DSUN","9","DSUN009","DSUN06111",20691,"2","6","DSUN009-6","BFF",4,15.2,14,1.2,23.0548856212415,0.144582514443801
"1031","DSUN","9","DSUN009","DSUN06115",20695,"2","6","DSUN009-6","BFF",13,16.5,11.2,5.3,53.5537537928,0.0458012746999822
"1032","DSUN","9","DSUN009","DSUN06119",20699,"2","6","DSUN009-6","BFF",19,16,12.8,3.2,41.752983238936,0.142205407599788
"1033","DSUN","9","DSUN009","DSUN06124",20704,"2","6","DSUN009-6","BFF",5,15.1,14.3,0.799999999999999,12.932219644429,0.483289038683503
"1034","DSUN","9","DSUN009","DSUN07137",20717,"2","7","DSUN009-7","BFF",23,23.1,19.2,3.9,78.1851119357115,0.075429141833104
"1035","DSUN","9","DSUN009","DSUN07146",20726,"2","7","DSUN009-7","BFF",17,15.5,12.8,2.7,33.1306303359375,0.190044566989918
"1036","DSUN","9","DSUN009","DSUN08152",20732,"2","8","DSUN009-8","BFF",18,17,13.4,3.6,45.9417150541145,0.108833551253159
"1037","DSUN","9","DSUN009","DSUN08153",20733,"2","8","DSUN009-8","BFF",21,14.6,12.8,1.8,25.6440847679995,0.454945722267506
"1038","DSUN","9","DSUN009","DSUN08164",20744,"2","8","DSUN009-8","BFF",11,17,15.1,1.9,64.3910836725885,0.0899111080914317
"1039","DSUN","9","DSUN009","DSUN08168",20748,"2","8","DSUN009-8","BFF",7,16.4,14.4,2,31.430962115533,0.111355165875445
"1040","DSUN","9","DSUN009","DSUN09188",20768,"2","9","DSUN009-9","BFF",4,11,9.8,1.2,27.4306639350275,0.121518507216183
"1041","DSUN","9","DSUN009","DSUN09189",20769,"2","9","DSUN009-9","BFF",18,18.5,14.1,4.4,17.84404977125,0.229259004729985
"1042","DSUN","10","DSUN010","DSUN01007",23109,"2","1","DSUN010-1","BFF",16,17.2,12.8,4.4,16.060388014055,0.226418168302119
"1043","DSUN","10","DSUN010","DSUN01020",23122,"2","1","DSUN010-1","BFF",6,23.9,19.3,4.6,26.2441718027305,0.049700475819597
"1044","DSUN","10","DSUN010","DSUN02038",23140,"2","2","DSUN010-2","BFF",5,20.4,18.1,2.3,14.243480802598,0.152625125389416
"1045","DSUN","10","DSUN010","DSUN02044",23146,"2","2","DSUN010-2","BFF",6,16.2,13.4,2.8,28.436473145208,0.0753559392514978
"1046","DSUN","10","DSUN010","DSUN02045",23147,"2","2","DSUN010-2","BFF",8,18.1,15.3,2.8,25.156320337628,0.113575547568029
"1047","DSUN","10","DSUN010","DSUN04073",23175,"2","4","DSUN010-4","BFF",3,13.8,13.2,0.600000000000001,36.833072365364,0.135747568120376
"1048","DSUN","10","DSUN010","DSUN04080",23182,"2","4","DSUN010-4","BFF",5,16.1,15.6,0.500000000000002,47.9230469813075,0.208667867130829
"1049","DSUN","10","DSUN010","DSUN04082",23184,"2","4","DSUN010-4","BFF",4,12.8,12.2,0.600000000000001,35.732907209873,0.186569389037135
"1050","DSUN","10","DSUN010","DSUN04083",23185,"2","4","DSUN010-4","BFF",8,15.1,14.4,0.699999999999999,84.5301945558125,0.135201054352543
"1051","DSUN","10","DSUN010","DSUN05102",23204,"2","5","DSUN010-5","BFF",24,18.7,13.7,5,57.5484838022495,0.0834079315885013
"1052","DSUN","10","DSUN010","DSUN05103",23205,"2","5","DSUN010-5","BFF",12,16.9,12.4,4.5,71.4317564128695,0.0373316687224315
"1053","DSUN","10","DSUN010","DSUN05104",23206,"2","5","DSUN010-5","BFF",10,10.8,8.4,2.4,50.03512238296,0.0832748371189289
"1054","DSUN","10","DSUN010","DSUN05105",23207,"2","5","DSUN010-5","BFF",13,16.7,14.2,2.5,13.5533400225,0.383669264651181
"1055","DSUN","10","DSUN010","DSUN06111",23213,"2","6","DSUN010-6","BFF",4,15.8,15.1,0.700000000000001,23.0548856212415,0.247855739046516
"1056","DSUN","10","DSUN010","DSUN06115",23217,"2","6","DSUN010-6","BFF",5,16.7,15.9,0.799999999999999,53.5537537928,0.116705171110532
"1057","DSUN","10","DSUN010","DSUN06124",23226,"2","6","DSUN010-6","BFF",6,15.2,14.6,0.6,12.932219644429,0.773262461893605
"1058","DSUN","10","DSUN010","DSUN07129",23231,"2","7","DSUN010-7","BFF",5,16.1,15.3,0.800000000000001,36.0777549,0.173236943854286
"1059","DSUN","10","DSUN010","DSUN07130",23232,"2","7","DSUN010-7","BFF",4,16.4,15.7,0.699999999999999,30.296237591492,0.188613708122306
"1060","DSUN","10","DSUN010","DSUN07131",23233,"2","7","DSUN010-7","BFF",5,15.8,15.3,0.5,59.978387597926,0.166726722749476
"1061","DSUN","10","DSUN010","DSUN07137",23239,"2","7","DSUN010-7","BFF",10,25.3,20.7,4.6,78.1851119357115,0.0278046931142822
"1062","DSUN","10","DSUN010","DSUN07146",23248,"2","7","DSUN010-7","BFF",18,15,13.1,1.9,33.1306303359375,0.285949410393499
"1063","DSUN","10","DSUN010","DSUN08148",23250,"2","8","DSUN010-8","BFF",4,14.1,13.5,0.6,27.0922711105,0.246072639664487
"1064","DSUN","10","DSUN010","DSUN08168",23270,"2","8","DSUN010-8","BFF",7,16.4,15.8,0.599999999999998,31.430962115533,0.371183886251484
"1065","DSUN","10","DSUN010","DSUN10216",23317,"2","10","DSUN010-10","BFF",5,14,13.4,0.6,25.2760453526735,0.329692925339363
"1066","DSUN","10","DSUN010","DSUN10217",23318,"2","10","DSUN010-10","BFF",7,17.4,16.5,0.899999999999999,27.919418029683,0.278579509412005
"1067","DSUN","10","DSUN010","DSUN10227",23328,"2","10","DSUN010-10","BFF",5,14.9,14.1,0.800000000000001,37.788559900946,0.165393971518971
"1068","DSUN","12","DSUN012","DSUN05102",28248,"2","5","DSUN012-5","BFF",6,19.2,17.5,1.7,57.5484838022495,0.0613293614621333
