"","site.accession","subplot","GHFF_max_v","GHFF_min_v","GHFF_mean_v","BFF_max_v","BFF_min_v","BFF_mean_v","LRFF_max_v","LRFF_min_v","LRFF_mean_v","all_max_v","all_min_v","all_mean_v","GHFF_median_v","BFF_median_v","LRFF_median_v","all_median_v","GHFF_Liqr_v","BFF_Liqr_v","LRFF_Liqr_v","all_Liqr_v","GHFF_Uiqr_v","BFF_Uiqr_v","LRFF_Uiqr_v","all_Uiqr_v","GHFF_sd_v","BFF_sd_v","LRFF_sd_v","all_sd_v"
"720","DRED007",10,0,0,0,2.67132129427635,3.94037279523496e-09,0.312223918520223,0,0,0,2.67132129427635,3.94037279523496e-09,0.312223918520223,0,0.0271496107161136,0,0.0271496107161136,0,3e-04,0,3e-04,0,0.356,0,0.356,0,0.549425795900926,0,0.549425795900926
"721","DRED008",1,0,0,0,1.40693911636011,7.63721007654438e-14,0.11561523104732,7.09751928953654,-8.02047507923508e-16,0.150639599093938,7.09752243553886,7.63209308643601e-14,0.266254830141258,0,0.0163131121152629,3.15968038917159e-05,0.0576500995199258,0,7e-04,0,0.003,0,0.1225,0.0474,0.286,0,0.22075945741484,0.484090501312161,0.537975361105895
"722","DRED008",2,0,0,0,0,0,0,72.2901468750777,0.00804922644930891,4.79986061342401,72.2901468750777,0.00804922644930891,4.79986061342401,0,0,1.20929099014647,1.20929099014647,0,0,0.7076,0.7076,0,0,2.7364,2.7364,0,0,11.0301334710465,11.0301334710465
"723","DRED008",3,0,0,0,17.1967008530566,4.24757409579779e-10,0.323405293442826,3.86213322637084,-4.10580251314774e-16,0.296184959240111,17.1967008530566,3.58488421564612e-07,0.619590252682938,0,0.0756819146186294,0.000601822111566126,0.195976968775381,0,0.0059,0,0.042,0,0.2524,0.1251,0.7334,0,0.980653633863134,0.694929550163868,1.15672547689003
"724","DRED008",4,0,0,0,2.59919411614032,1.4534810402825e-15,0.201040076540238,0,0,0,2.59919411614032,1.4534810402825e-15,0.201040076540238,0,0.0701139658262129,0,0.0701139658262129,0,0.0109,0,0.0109,0,0.2412,0,0.2412,0,0.354227446790515,0,0.354227446790515
"725","DRED008",5,0,0,0,2.23210097604397,-2.7288548007199e-16,0.242253554115191,0,0,0,2.23210097604397,-2.7288548007199e-16,0.242253554115191,0,0.0114779197957277,0,0.0114779197957277,0,0,0,0,0,0.3535,0,0.3535,0,0.397276742888358,0,0.397276742888358
"726","DRED008",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"727","DRED008",7,0,0,0,2.60575998236909,-2.70309855421836e-16,0.153941596231047,0,0,0,2.60575998236909,-2.70309855421836e-16,0.153941596231047,0,0.000106522294480433,0,0.000106522294480433,0,0,0,0,0,0.1325,0,0.1325,0,0.364589351857161,0,0.364589351857161
"728","DRED008",8,0.879354438900353,-1.09157118598069e-16,0.0426649861227051,2.51189060593997,-2.37172491522949e-16,0.198837351459656,5.75012487805136,1.10593427190663e-07,0.753221224697483,5.78416672710906,0.000180648456992396,0.994723562279844,9.66049460594533e-12,0.037829014665237,0.492796644606622,0.795294083423402,0,0.001,0.1477,0.3459,2e-04,0.2078,1.0252,1.3311,0.137031323983749,0.371520021740019,0.906777858369685,0.933832869703472
"729","DRED008",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"730","DRED008",10,0,0,0,0,0,0,14.8739062877995,6.42558291701864e-05,1.59483889989999,14.8739062877995,6.42558291701864e-05,1.59483889989999,0,0,0.898696945626124,0.898696945626124,0,0,0.22,0.22,0,0,2.0886,2.0886,0,0,2.12946688730137,2.12946688730137
"731","DRED009",1,0,0,0,1.08073402214211,1.48157331597745e-14,0.0878278524292206,3.23681796700408,-5.23979787097087e-16,0.319925168331276,3.27331101645463,1.89856707388873e-13,0.407753020760497,0,0.0280574066108578,0.0775574883368425,0.172306650532672,0,0.0021,6e-04,0.0177,0,0.1135,0.3802,0.5199,0,0.139609833150639,0.525608767818574,0.591871711046515
"732","DRED009",2,0,0,0,1.15633102145051,-8.96029916345579e-17,0.0653442186705297,10.9389674841551,2.37105030107823e-07,0.891252436736094,12.0952985056056,2.37159995407371e-07,0.956596655406624,0,1.44840900524869e-05,0.310341311047236,0.314417650309626,0,0,0.1251,0.1272,0,0.0134,0.7356,0.7761,0,0.18200671306361,1.69644306554649,1.85253480810659
"733","DRED009",3,0,0,0,8.08735941986216,4.40009620393531e-07,0.354780403808205,3.41702111241923,-5.07623868138925e-16,0.0897577149542666,8.08735941986216,4.40009619954369e-07,0.444538118762471,0,0.130169939307929,2.86245040008495e-14,0.172445499043318,0,0.0155,0,0.0281,0,0.4428,0,0.5839,0,0.596046836498378,0.366647681340433,0.680687589060339
"734","DRED009",4,0,0,0,2.56174100040229,1.34536754626791e-08,0.162178796195527,0,0,0,2.56174100040229,1.34536754626791e-08,0.162178796195527,0,0.0514289881261153,0,0.0514289881261153,0,0.0039,0,0.0039,0,0.184,0,0.184,0,0.33193893640805,0,0.33193893640805
"735","DRED009",5,0,0,0,2.0970425858599,-1.36832079841006e-16,0.100315000212134,1.49697578366461,-2.77850592369131e-16,0.0395627451141781,2.0970425858599,-2.40376512206191e-16,0.139877745326312,0,0.00118384413266175,3.2210607469233e-15,0.00182855146515229,0,0,0,0,0,0.0832,0,0.1111,0,0.22238435375256,0.17448531881248,0.296027649292745
"736","DRED009",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
